IND,POP,3.1,3.2,3.3,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,6.5,6.6,7.1,7.2,7.3,7.4,7.5,7.6,7.7
I12903,Netherlands/Denmark IA,0.042597,0.957393,1E-05,0.457883,0.003395,0.538712,1E-05,0.327609,0.42375,1E-05,0.248621,1E-05,0.439652,0.285963,0.262684,1E-05,0.011681,1E-05,1E-05,1E-05,0.007161,0.327999,0.366329,1E-05,0.298481
I12905,Netherlands/Denmark IA,0.047433,0.952557,1E-05,0.476941,0.008856,0.514193,1E-05,0.330492,0.40461,1E-05,0.264878,1E-05,0.423162,0.295653,0.273903,1E-05,0.007262,1E-05,1E-05,0.133404,0.006114,0.346187,0.259195,1E-05,0.25508
I12905,Netherlands/Denmark IA,0.047433,0.952557,1E-05,0.476941,0.008856,0.514193,1E-05,0.330492,0.40461,1E-05,0.264878,1E-05,0.423162,0.295653,0.273903,1E-05,0.007262,1E-05,1E-05,0.133404,0.006114,0.346187,0.259195,1E-05,0.25508
I12906,Netherlands/Denmark IA,0.040856,0.959134,1E-05,0.515222,0.009509,0.47526,1E-05,0.359274,0.372238,1.8E-05,0.26846,1E-05,0.398547,0.325131,0.276291,1E-05,1E-05,1E-05,1E-05,0.073483,1E-05,0.300823,0.315157,1E-05,0.310507
I12907,Netherlands/Denmark IA,0.025612,0.974378,1E-05,0.493305,1E-05,0.506675,1E-05,0.345057,0.401766,1.7E-05,0.25315,1E-05,0.424406,0.307497,0.268066,1E-05,1E-05,1E-05,1E-05,0.073842,1E-05,0.330466,0.303758,1E-05,0.291903
I17750,Netherlands/Denmark IA,0.052134,0.947856,1E-05,0.488922,0.017685,0.493383,1E-05,0.338898,0.389893,1E-05,0.271189,1E-05,0.405463,0.306213,0.278048,1E-05,0.010256,1E-05,1E-05,0.109715,0.008469,0.322063,0.281574,1E-05,0.27816
I11631,Netherlands/Denmark IA,0.022533,0.977457,1E-05,0.485815,1E-05,0.514165,1E-05,0.354246,0.412512,1E-05,0.233222,1E-05,0.433682,0.312559,0.253729,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.309085,0.363391,1E-05,0.327484
VK213.SG,Netherlands/Denmark IA,0.044641,0.944494,0.010865,0.531252,0.014766,0.446441,0.007542,0.381376,0.353864,0.006138,0.258612,1E-05,0.367205,0.353081,0.261015,0.00526,0.01343,1E-05,0.004146,0.253798,0.014017,0.321282,0.148495,1E-05,0.258252
VK521.SG,Netherlands/Denmark IA,0.045495,0.935839,0.018666,0.453414,0.013619,0.516529,0.016439,0.321416,0.4134,0.015233,0.248187,0.001764,0.43844,0.283702,0.258824,0.014615,0.000851,0.003568,0.013676,0.271772,0.002603,0.395883,0.135885,0.000183,0.179999
VK532.SG,Netherlands/Denmark IA,0.050877,0.917191,0.031932,0.447848,0.02026,0.502789,0.029104,0.297365,0.399201,0.026881,0.270773,0.00578,0.421612,0.263551,0.280259,0.026212,1E-05,0.008356,0.025334,0.261782,1E-05,0.372039,0.160341,0.006395,0.174099
VK582.SG,Netherlands/Denmark IA,0.032249,0.955611,0.01214,0.464368,1E-05,0.526506,0.009116,0.262712,0.409045,0.005574,0.322659,1E-05,0.424164,0.235753,0.334689,0.005374,1E-05,1E-05,0.004352,0.310789,1E-05,0.36995,0.172295,1E-05,0.142594
I16498,Scotland IA,0.050627,0.949363,1E-05,0.490354,0.016341,0.493295,1E-05,0.327876,0.385716,1E-05,0.286388,1E-05,0.403241,0.29733,0.298665,1E-05,0.000744,1E-05,1E-05,0.121057,1E-05,0.314507,0.292981,1E-05,0.271425
I2692,Scotland IA,0.03983,0.96016,1E-05,0.499432,0.009815,0.490743,1E-05,0.367041,0.387773,1E-05,0.245166,1E-05,0.407488,0.328795,0.257302,1E-05,0.006396,1E-05,1E-05,1E-05,0.002249,0.294613,0.361696,1E-05,0.341413
I2982,Scotland IA,0.029599,0.970391,1E-05,0.488479,1E-05,0.511501,1E-05,0.367544,0.405475,1E-05,0.226961,1E-05,0.430458,0.323917,0.245596,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.293619,0.374516,1E-05,0.331825
I2983,Scotland IA,0.035754,0.964236,1E-05,0.483545,0.002146,0.5143,1E-05,0.342444,0.402831,1E-05,0.254705,1E-05,0.426433,0.302636,0.270901,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.295269,0.382849,1E-05,0.321842
I16504,Scotland IA,0.032395,0.967595,1E-05,0.512586,1E-05,0.487394,1E-05,0.334084,0.374024,1E-05,0.291872,1E-05,0.391311,0.30528,0.303379,1E-05,1E-05,1E-05,1E-05,0.143258,1E-05,0.30829,0.27708,1E-05,0.271342
I16499,Scotland IA,0.054269,0.945721,1E-05,0.464961,0.020412,0.514616,1E-05,0.325998,0.406681,1E-05,0.263559,0.00375,0.425948,0.288744,0.277637,1E-05,0.005111,0.00255,1E-05,0.01186,0.00261,0.308254,0.370356,0.00407,0.302839
I16416,Scotland IA,0.057514,0.940828,0.00166,0.498891,0.024322,0.47627,0.000517,0.330077,0.374451,1E-05,0.292515,0.00295,0.38961,0.300583,0.300455,1E-05,0.009332,1E-05,0.000208,0.015963,0.00808,0.272486,0.381908,1E-05,0.321345
I16503,Scotland IA,0.040209,0.959781,1E-05,0.4971,0.007788,0.495101,1E-05,0.327263,0.385545,1E-05,0.287172,1E-05,0.404895,0.295184,0.29989,1E-05,1E-05,1E-05,1E-05,0.039203,1E-05,0.290773,0.365952,1E-05,0.304043
I2694,Scotland IA,0.035872,0.964118,1E-05,0.480005,0.002699,0.517286,1E-05,0.335779,0.404974,1E-05,0.259227,1E-05,0.422308,0.297166,0.276356,1E-05,0.00415,1E-05,1E-05,1E-05,1E-05,0.27733,0.406333,1E-05,0.316297
I16422,Scotland IA,0.055036,0.944954,1E-05,0.462917,0.016782,0.520292,1E-05,0.333558,0.415178,1E-05,0.249951,0.0013,0.434864,0.29427,0.261563,1E-05,0.009283,1E-05,1E-05,1E-05,0.00676,0.313324,0.369724,1E-05,0.310164
I2696,Scotland IA,0.040207,0.959783,1E-05,0.470207,0.002101,0.527682,1E-05,0.335557,0.415818,1E-05,0.248605,1E-05,0.438712,0.293788,0.26747,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.30358,0.386948,1E-05,0.309432
I2695,Scotland IA,0.032168,0.967822,1E-05,0.504122,0.003098,0.49277,1E-05,0.370523,0.388014,1.6E-05,0.241436,1E-05,0.413684,0.330507,0.255779,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.278452,0.37785,1E-05,0.343658
I2799,Scotland IA,0.029017,0.970973,1E-05,0.490889,1E-05,0.509091,1E-05,0.368303,0.403421,1E-05,0.228257,1E-05,0.42978,0.323915,0.246275,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.290995,0.377084,1E-05,0.331881
I3566,Scotland IA,0.036017,0.963973,1E-05,0.486842,0.003038,0.51011,1E-05,0.355875,0.403828,1E-05,0.240277,1E-05,0.426079,0.316882,0.257009,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.305418,0.366044,1E-05,0.328498
I3568,Scotland IA,0.039402,0.960588,1E-05,0.490538,0.007452,0.502,1E-05,0.355536,0.396942,1E-05,0.247502,1E-05,0.420143,0.316045,0.263781,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.301934,0.368766,1E-05,0.329259
I2699,Scotland IA,0.063292,0.936698,1E-05,0.481104,0.032762,0.486124,1E-05,0.330698,0.387185,1E-05,0.265176,0.016931,0.39331,0.300346,0.275427,1E-05,0.025494,0.005413,1E-05,0.047084,0.019544,0.292573,0.33418,0.006802,0.299807
I16418,Scotland IA,0.050668,0.945579,0.003754,0.458292,0.014305,0.523701,0.003702,0.312686,0.413642,0.003065,0.26967,0.000938,0.433017,0.275211,0.283164,0.002869,0.005729,1E-05,0.002514,0.050293,0.004774,0.327875,0.340555,1E-05,0.273979
I16495,Scotland IA,0.049957,0.950033,1E-05,0.484727,0.016643,0.49862,1E-05,0.348764,0.393975,1E-05,0.256949,0.000302,0.414263,0.311725,0.269158,1E-05,0.004834,1E-05,1E-05,0.023177,0.002088,0.307158,0.347266,0.000971,0.319329
I2824,Scotland IA,0.030875,0.969115,1E-05,0.485285,0.004072,0.510632,1E-05,0.339739,0.397008,1E-05,0.263233,1E-05,0.423391,0.298577,0.277267,1E-05,0.000745,1E-05,1E-05,1E-05,1E-05,0.301846,0.380658,1E-05,0.317456
I5474,Scotland IA,0.024257,0.950335,0.025408,0.50071,1E-05,0.472544,0.026736,0.369824,0.37489,0.02246,0.232815,1E-05,0.403474,0.329008,0.245454,0.022044,1E-05,1E-05,0.018459,1E-05,1E-05,0.259429,0.382078,1E-05,0.340004
I27384,Scotland IA,0.037902,0.962088,1E-05,0.512365,0.006894,0.480731,1E-05,0.362728,0.377099,1E-05,0.260152,1E-05,0.399831,0.327844,0.272296,1E-05,1E-05,1E-05,1E-05,0.010097,1E-05,0.289593,0.36089,1E-05,0.33939
I27385,Scotland IA,0.030463,0.969527,1E-05,0.491132,1E-05,0.508848,1E-05,0.342498,0.397791,1.2E-05,0.259689,1E-05,0.420712,0.304864,0.274394,1E-05,1E-05,1E-05,1E-05,0.017822,1E-05,0.308952,0.357829,1E-05,0.315367
I16413,Scotland IA,0.04261,0.95738,1E-05,0.490737,0.003998,0.505255,1E-05,0.327466,0.392707,1E-05,0.279807,1E-05,0.410839,0.2934,0.295731,1E-05,1E-05,1E-05,1E-05,0.007098,1E-05,0.287847,0.387775,1E-05,0.31725
I2693,Scotland IA,0.036288,0.963702,1E-05,0.475522,0.00056,0.523908,1E-05,0.332015,0.410462,1.9E-05,0.257494,1E-05,0.433202,0.292434,0.274334,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.288938,0.40118,1E-05,0.309843
I3567,Scotland IA,0.038052,0.961938,1E-05,0.456567,1E-05,0.543413,1E-05,0.330604,0.430156,1.4E-05,0.239215,1E-05,0.45361,0.287459,0.258901,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.322886,0.375825,1E-05,0.301249
I12412,England EY_IA,0.032612,0.967378,1E-05,0.517421,0.003749,0.478821,1E-05,0.393672,0.380068,1E-05,0.22624,1E-05,0.408006,0.352042,0.239922,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.270324,0.370231,1E-05,0.359405
I14100,England EY_IA,0.040628,0.959362,1E-05,0.518406,0.010363,0.471221,1E-05,0.379247,0.372506,1E-05,0.248227,1E-05,0.396309,0.342644,0.261018,1E-05,1E-05,1E-05,1E-05,0.001015,1E-05,0.268505,0.373934,1E-05,0.356516
I22056,England EY_IA,0.040749,0.959241,1E-05,0.517301,0.012113,0.470576,1E-05,0.371348,0.370561,1E-05,0.258071,1E-05,0.391344,0.336458,0.267151,1E-05,0.005027,1E-05,1E-05,0.033483,0.004138,0.291383,0.333384,1E-05,0.337593
I22055,England EY_IA,0.036371,0.963619,1E-05,0.516003,0.002972,0.481015,1E-05,0.382167,0.380735,1.6E-05,0.237071,1E-05,0.40075,0.345133,0.250623,1E-05,0.003474,1E-05,1E-05,0.002233,0.003492,0.294131,0.347092,1E-05,0.353032
I5507,England EY_IA,0.031106,0.968884,1E-05,0.50793,0.003038,0.489022,1E-05,0.37462,0.385232,1E-05,0.240128,1E-05,0.40698,0.33482,0.255468,1E-05,0.002713,1E-05,1E-05,1E-05,0.002784,0.275861,0.373832,1E-05,0.347493
I5510,England EY_IA,0.046646,0.953344,1E-05,0.496773,0.016925,0.486292,1E-05,0.370765,0.387472,1E-05,0.235389,0.006363,0.408522,0.333298,0.246258,1E-05,0.011902,1E-05,1E-05,1E-05,0.008898,0.291844,0.357009,1E-05,0.342219
I14105,England EY_IA,0.034651,0.965339,1E-05,0.515257,0.002049,0.482684,1E-05,0.39828,0.38525,1E-05,0.21645,1E-05,0.408747,0.35692,0.227876,1E-05,0.006438,1E-05,1E-05,1E-05,0.000727,0.297099,0.342243,1E-05,0.359901
I5505,England EY_IA,0.032475,0.967515,1E-05,0.509583,0.003268,0.487139,1E-05,0.35993,0.384015,1E-05,0.256035,1E-05,0.402476,0.324885,0.267566,1E-05,0.005053,1E-05,1E-05,0.018603,0.001357,0.287207,0.358836,1E-05,0.333977
I13753,England EY_IA,0.041744,0.958246,1E-05,0.493629,0.01191,0.494451,1E-05,0.363531,0.393615,1E-05,0.242834,1E-05,0.418028,0.323504,0.253902,1E-05,0.004546,1E-05,1E-05,0.036726,0.002428,0.31849,0.323003,1E-05,0.319333
I11034,England EY_IA,0.036512,0.963478,1E-05,0.505558,0.005824,0.488609,1E-05,0.372134,0.386652,1E-05,0.241193,1E-05,0.407543,0.334515,0.254124,1E-05,0.003799,1E-05,1E-05,0.011729,0.002418,0.300375,0.345253,1E-05,0.340205
I13752,England EY_IA,0.039807,0.960183,1E-05,0.524946,0.011548,0.463497,1E-05,0.387658,0.368118,1E-05,0.244057,0.000157,0.390605,0.351767,0.253856,1E-05,0.003752,1E-05,1E-05,0.008742,0.000837,0.280198,0.350273,0.000406,0.359534
I5511,England EY_IA,0.039173,0.960817,1E-05,0.523701,0.010646,0.465643,1E-05,0.393678,0.369781,1E-05,0.236521,1E-05,0.39288,0.356169,0.247706,1E-05,0.003225,1E-05,1E-05,1E-05,0.000997,0.270187,0.36324,1E-05,0.365547
I5503,England EY_IA,0.042604,0.957386,1E-05,0.496808,0.012483,0.490699,1E-05,0.355617,0.388202,1E-05,0.256161,1E-05,0.408248,0.319046,0.269695,1E-05,0.002991,1E-05,1E-05,1E-05,1E-05,0.28566,0.378649,1E-05,0.335652
I13756,England EY_IA,0.042893,0.957097,1E-05,0.513086,0.011739,0.475164,1E-05,0.360363,0.372513,1E-05,0.267105,1E-05,0.393611,0.327145,0.276481,1E-05,0.002743,1E-05,1E-05,0.04488,0.003414,0.291232,0.333024,1E-05,0.327431
I12413,England EY_IA,0.042852,0.957138,1E-05,0.497773,0.00986,0.492357,1E-05,0.375845,0.392564,1E-05,0.231571,1E-05,0.418254,0.334193,0.245652,1E-05,0.001881,1E-05,1E-05,1E-05,0.002322,0.293109,0.361215,1E-05,0.343325
I13760,England EY_IA,0.02593,0.97406,1E-05,0.515365,0.006775,0.47785,1E-05,0.414736,0.385648,1E-05,0.199596,1E-05,0.415548,0.368981,0.214968,1E-05,0.000483,1E-05,1E-05,0.011494,0.002719,0.308303,0.315068,1E-05,0.362396
I14107,England EY_IA,0.034483,0.965507,1E-05,0.514872,0.004525,0.480593,1E-05,0.369911,0.37847,1E-05,0.251599,1E-05,0.401414,0.333597,0.264955,1E-05,1.5E-05,1E-05,1E-05,0.003579,1E-05,0.291646,0.356831,1E-05,0.347914
