O,X,A,B,D,SD,Z,BABA,ABBA,SNP,Zcat,Exc
Mbuti.SDG,PJ050,protoMerovingian,Germany_EMA_Alemanic,-0.0102,0.003394,-3.014,16422,16762,328949,,
Mbuti.SDG,PJ050,protoMerovingian,EMA_Bavaria_Str,-0.0130,0.003329,-3.906,16878,17323,341074,,
Mbuti.SDG,PJ050,protoMerovingian,EMA_Bavaria_AED,-0.0132,0.003486,-3.796,16380,16819,330664,,
Mbuti.SDG,PJ050,protoMerovingian,Ireland_Viking,-0.0132,0.003844,-3.430,14926,15325,299601,,
Mbuti.SDG,PJ050,protoMerovingian,Denmark_EarlyViking,-0.0143,0.003528,-4.062,16492,16972,330107,,
Mbuti.SDG,PJ050,protoMerovingian,Spain_Visigoth,-0.0150,0.003512,-4.269,16365,16863,331187,,
Mbuti.SDG,PJ050,protoMerovingian,EMA_Bavaria_Alh,-0.0152,0.003858,-3.936,14657,15109,295731,,
Mbuti.SDG,PJ050,protoMerovingian,Hinxton_AS_Camb,-0.0155,0.004440,-3.499,13301,13721,270706,,
Mbuti.SDG,PJ050,protoMerovingian,England_Viking,-0.0161,0.003018,-5.337,17405,17974,348579,,
Mbuti.SDG,PJ050,protoMerovingian,Oakington_AS_Camb,-0.0169,0.002908,-5.798,17461,18060,349879,,
Mbuti.SDG,PJ050,protoMerovingian,Denmark_Viking,-0.0191,0.002884,-6.639,17415,18095,349736,,
Mbuti.SDG,PJ050,protoMerovingian,Scotland_Viking,-0.0194,0.003382,-5.749,16187,16828,325531,,
Mbuti.SDG,PJ050,protoMerovingian,I13634_AF011,-0.0204,0.005871,-3.472,8450,8802,172510,,
Mbuti.SDG,PJ050,protoMerovingian,Ely_AS_Camb,-0.0283,0.003412,-8.292,16358,17310,329741,,
Mbuti.SDG,PJ050,protoMerovingian,AS_Denmark_Copenhagen,-0.0288,0.003092,-9.308,17177,18195,345159,,
Mbuti.SDG,PJ050,protoMerovingian,Hatherdene_AS_Camb,-0.0294,0.003084,-9.530,17181,18222,345987,,
Mbuti.SDG,PJ050,protoMerovingian,Eastry_AS_Kent,-0.0407,0.003606,-11.275,15598,16920,316306,,
Mbuti.SDG,PJ050,protoMerovingian,Polhill_AS_Kent,-0.0472,0.003292,-14.344,16445,18076,335903,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_LSaxony_Schortens,-0.0688,0.004037,-17.036,13725,15753,283050,,
Mbuti.SDG,PJ050,protoMerovingian,Norfolk_AS_Anglia,-0.0690,0.002994,-23.059,16818,19313,346824,,
Mbuti.SDG,PJ050,protoMerovingian,France_Medieval,-0.0698,0.005611,-12.434,8960,10304,184593,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_LSaxony_Anderten,-0.0709,0.003094,-22.924,16682,19229,345001,,
Mbuti.SDG,PJ050,protoMerovingian,Suffolk_AS_Anglia,-0.0711,0.003111,-22.872,16660,19212,344645,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_LSaxony_Issendorf,-0.0715,0.005371,-13.314,8908,10281,183861,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_LSaxony_Zetel,-0.0722,0.005220,-13.824,8812,10183,181741,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_LSaxony_Liebenau,-0.0736,0.004499,-16.349,11923,13817,246988,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_LSaxony_Drantum,-0.0750,0.003274,-22.921,16581,19272,343094,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_LSaxony_Dunum,-0.0756,0.003128,-24.175,16482,19178,341225,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_LSaxony_Hidderstorf,-0.0778,0.003534,-22.014,15629,18266,323712,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_NRhine_AltInden,-0.0796,0.002984,-26.684,16604,19477,345599,,
Mbuti.SDG,PJ050,protoMerovingian,Germany_Schleswig,-0.0815,0.003083,-26.433,16550,19487,344352,,
Mbuti.SDG,PJ050,protoMerovingian,AS_Netherlands_Freis_Midlum,-0.0943,0.003347,-28.184,15570,18813,327023,,
Mbuti.SDG,PJ050,protoMerovingian,Ireland_Roscommon_Kilteasheen,-0.0984,0.002897,-33.958,16600,20223,349462,,
Mbuti.SDG,PJ050,protoMerovingian,AS_Nehterlands_Groningen,-0.1047,0.002992,-34.993,16369,20198,347232,,
