I0172,Germany_MN_Esperstedt,MathiesonNature2015_1240k_of_same_same_sample_with_390k_in_HaakLazaridis2015,T2bmt,T2bmt,I2aY,I2a1a2a1a1Y,Esperstedt,51.42,11.68,Germany,3196
I0412,Spain_EN,MathiesonNature2015_1240k_of_same_same_sample_with_390k_in_HaakLazaridis2015,N1amt,N1a1a1mt,I2aY,I2a1a2a1bY,Els_Trocs,42.5,0.5,Spain,5191
I0406,Spain_MLN,MathiesonNature2015_1240k_of_same_same_sample_with_390k_in_HaakLazaridis2015,H1mt,H1mt,I2aY,I2a1b1a2bY,La_Mina,41.2522,-2.32622,Spain,3750
I0410,Spain_EN,MathiesonNature2015_1240k_of_same_same_sample_with_390k_in_HaakLazaridis2015,T2cmt,T2c1d+152mt,R1bY,R1b1b2aY,Els_Trocs,42.5,0.5,Spain,5177.5
I1904,Hungary_MN_LBK,LipsonNature2017,K1bmt,K1b1amt,G2aY,G2a2a1Y,Bataszek-Lajver,46.20487,18.7004,Hungary,5075
I1593,Germany_Blatterhohle_MN,LipsonNature2017,U5bmt,U5b2a2mt,R1bY,R1b1bY,Blatterhole_Cave,51.358333,7.551111,Germany,3586
I1565,Germany_Blatterhohle_MN,LipsonNature2017,U5bmt,U5b2b2mt,I2aY,I2a1a1b1bY,Blatterhole_Cave,51.358333,7.551111,Germany,3690
I2354,Hungary_EarlyC_Tiszapolgar,LipsonNature2017,T2cmt,T2c1+146mt,G2aY,G2a2b2a1a1c1aY,Pusztataskony-Ledence_I,47.45925,20.51282,Hungary,4250
I2376,Hungary_MN_ALPc_Tiszadob,LipsonNature2017,HV0mt,HV0amt,H2Y,H2Y,Tiszadob-O-Kenez,48.00363,21.17651,Hungary,5100
I2377,Hungary_MN_ALPc_Tiszadob,LipsonNature2017,J1cmt,J1c2mt,I2aY,I2a1b1Y,Tiszadob-O-Kenez,48.00363,21.17651,Hungary,5072.5
I2379,Hungary_MN_ALPc_Tiszadob,LipsonNature2017,N1amt,N1a1a1mt,I2aY,I2a1b1Y,Hejokrt-Lidl_logisztikai_kozpont,47.86071,21.00058,Hungary,5032
I1877,Hungary_EN_Starcevo,LipsonNature2017,X2dmt,X2dmt,G2aY,G2a2b2bY,Alsonyek-Bataszek_Mernoki_telep,46.208562,18.700047,Hungary,5634.5
I3498,Croatia_MN_Sopot,MathiesonNature2018,U8bmt,U8b1b1mt,C1aY,C1a2bY,Beli_Manastir-Popova_zemlja,45.338767,18.698861,Croatia,5745
I2977,Scotland_N,OlaldeNature2018,H1mt,H1mt,I2aY,I2a1b2Y,Scotland_Orkney_Isbister,58.74,-2.916,Great_Britain,2859
I2978,Scotland_N,OlaldeNature2018,K1bmt,K1b1a1mt,I2aY,I2a1a2aY,Scotland_Orkney_Isbister,58.74,-2.916,Great_Britain,3180
I3133,Scotland_N,OlaldeNature2018,K1amt,K1a+195mt,I2aY,I2a1a2aY,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,56.4033333,-5.478056,Great_Britain,3502
I2979,Scotland_N,OlaldeNature2018,K1amt,K1a+195mt,I2aY,I2a1a2aY,Scotland_Orkney_Isbister,58.74,-2.916,Great_Britain,3134.5
I3134,Scotland_N,OlaldeNature2018,T2+mt,T2+16189mt,I2aY,I2a1b1a1a1bY,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,56.4033333,-5.478056,Great_Britain,3503.5
I3135,Scotland_N,OlaldeNature2018,U5bmt,U5b2amt,I2aY,I2a1b1a1a1bY,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,56.4033333,-5.478056,Great_Britain,3512
I3715,Ukraine_N,MathiesonNature2018,U2emt,U2e1mt,I2aY,I2a1b1Y,Volniensky_Vilnianka,47.9543,35.3893,Ukraine,5559.5
I3717,Ukraine_N,MathiesonNature2018,U5amt,U5a2+16294mt,I2aY,I2a1b1aY,Dereivka_I,48.91422,33.76493,Ukraine,5293.5
I4114,Ukraine_N,MathiesonNature2018,U5amt,U5a1mt,R1bY,R1b1bY,Dereivka_I,48.91422,33.76493,Ukraine,5399
I1887,Hungary_MN_Vinca,LipsonNature2017,T2bmt,T2b*1mt,H2aY,H2a1Y,Versend-Gilencsa,45.5853,18.30771,Hungary,5200
I1899,Hungary_LN_Lengyel,LipsonNature2017,T2bmt,T2bmt,C1aY,C1a2bY,Veszprem_Jutasi_ut,47.102645,17.912987,Hungary,4600
I1901,Hungary_LN_Lengyel,LipsonNature2017,J1cmt,J1c2mt,G2aY,G2a2aY,Veszprem_Jutasi_ut,47.102645,17.912987,Hungary,4600
I1903,Hungary_LN_Lengyel,LipsonNature2017,T2+mt,T2+16189mt,H2aY,H2a1Y,Bataszek-Lajver,46.20487,18.7004,Hungary,4600
I1906,Hungary_LN_Lengyel,LipsonNature2017,Hmt,Hmt,H2Y,H2Y,Csabdi-Telizoldes,47.51062,18.61693,Hungary,4600
I2532,Romania_EN,MathiesonNature2018,K1amt,K1a2mt,G2aY,G2a2b2bY,Cotatcu,45.466,27.01,Romania,5672
I2630,Scotland_N,OlaldeNature2018,K1amt,K1a4mt,I2aY,I2a1a2aY,Scotland_Orkney_Isbister,58.74,-2.916,Great_Britain,2539.5
I2631,Scotland_N,OlaldeNature2018,H5mt,H5mt,I2aY,I2a1a2a1a1Y,Scotland_Orkney_Quoyness,59.23,-2.568,Great_Britain,3084
I2635,Scotland_N,OlaldeNature2018,U5bmt,U5b1+16189+@16192mt,I2aY,I2a1a2aY,Scotland_Tulloch_of_Assery,58.53,-3.603,Great_Britain,3582
I2637,Scotland_N,OlaldeNature2018,K1bmt,K1b1a1mt,I2aY,I2a1a2aY,Scotland_Orkney_Holm_of_Papa_Westray_North,59.35,-2.873,Great_Britain,3425
I2650,Scotland_N,OlaldeNature2018,T2cmt,T2c1d1mt,I2aY,I2a1b1a2b2Y,Scotland_Orkney_Holm_of_Papa_Westray_North,59.35,-2.873,Great_Britain,3430
I2660,Scotland_N,OlaldeNature2018,W1+mt,W1+119mt,I2aY,I2a1b1a1a1bY,Scotland_Distillery_Cave,56.41,-5.471,Great_Britain,3436
I2691,Scotland_N,OlaldeNature2018,J1cmt,J1c1mt,I2aY,I2a1b1a1aY,Scotland_Distillery_Cave,56.41,-5.471,Great_Britain,3671
I2743,Hungary_MN_ALPc_Szakalhat,LipsonNature2017,H1amt,H1agmt,G2aY,G2a2b2aY,Cegled_site_4/1,47.178841,19.860515,Hungary,5100
I2744,Hungary_MN_ALPc_Szakalhat,LipsonNature2017,J2bmt,J2b1mt,G2aY,G2a2b2aY,Cegled_site_4/1,47.178841,19.860515,Hungary,5100
I2932,Scotland_N,OlaldeNature2018,H5mt,H5mt,I2aY,I2a1a2aY,Scotland_Orkney_Isbister,58.74,-2.916,Great_Britain,2460
I2933,Scotland_N,OlaldeNature2018,J1cmt,J1c9mt,I2aY,I2a1b1a1a1b1Y,Scotland_Orkney_Isbister,58.74,-2.916,Great_Britain,2947.5
I2935,Scotland_N,OlaldeNature2018,U8bmt,U8b1bmt,I2aY,I2a1a2aY,Scotland_Orkney_Isbister,58.74,-2.916,Great_Britain,3137.5
I3041,Scotland_N,OlaldeNature2018,K1amt,K1a3mt,I2aY,I2a1b1a1aY,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,56.414567,-5.469178,Great_Britain,3489.5
I4303,France_MN_1,OlaldeNature2018,H3mt,H3mt,I2aY,I2a1a2Y,Clos_de_Roque,43.457,5.863,France,4668
I4436,Latvia_MN_o2,MathiesonNature2018,U4amt,U4a1mt,R1bY,R1b1a1Y,Baden-Wurttemberg,56.2833,25.1333,Latvia,4184.5
I4627,Latvia_MN,MathiesonNature2018,U4amt,U4a1mt,R1bY,R1b1a1Y,Zvejnieki,56.2833,25.1333,Latvia,4144.5
I0706,Bulgaria_N,MathiesonNature2018,K1amt,K1a4bmt,C1aY,C1a2bY,Veliko_Tarnovo_Dzhulyunitsa,43.16089,25.88341,Bulgaria,5936
I4304,France_MN_1,OlaldeNature2018,T2cmt,T2c1d+152mt,I2aY,I2a1a2Y,Clos_de_Roque,43.457,5.863,France,4673
I5068,Austria_EN_LBK,MathiesonNature2018,T2bmt,T2b23mt,J2aY,J2a1Y,Kleinhadersdorf_Flur_Marchleiten,48.663197,16.589687,Austria,5137.5
I5070,Austria_EN_LBK,MathiesonNature2018,K1amt,K1a1amt,C1aY,C1a2bY,Schletz,48.579752,16.46931,Austria,5103.5
I5072,Croatia_EN_Impressa,MathiesonNature2018,H7cmt,H7cmt,G2aY,G2a2a1Y,Kargadur,43.35141,16.461788,Croatia,5607.5
I5077,Croatia_MN_Sopot,MathiesonNature2018,U5amt,U5a1c1mt,G2aY,G2a2a1Y,Osijek_Hermanov_Vinograd,45.55101,18.746617,Croatia,5075
I5078,Croatia_MN_Sopot,MathiesonNature2018,H10mt,H10+16093mt,J2aY,J2a1a2b2a2Y,Osijek_Hermanov_Vinograd,45.55101,18.746617,Croatia,4622
I4893,Czech_N,OlaldeNature2018,U5bmt,U5b1bmt,G2aY,G2a2a1Y,Prague_8_Kobylisy_Ke_Stirce_Street,50.1217475,14.4569508,Czech_Republic,4396.5
I5204,Austria_EN_LBK,MathiesonNature2018,J1cmt,J1c2mt,G2aY,G2a2b2a3aY,Schletz,48.579752,16.46931,Austria,5000
I5875,Ukraine_N,MathiesonNature2018,U4amt,U4a1mt,I2aY,I2a1b1aY,Dereivka_I,48.91422,33.76493,Ukraine,5174
I5890,Ukraine_N,MathiesonNature2018,U5amt,U5a1mt,R1bY,R1b1bY,Dereivka_I,48.91422,33.76493,Ukraine,5174.5
I2521,Bulgaria_N,MathiesonNature2018,Hmt,Hmt,G2aY,G2a2b2b1a1b1a2Y,Veliko_Tarnovo_Dzhulyunitsa,43.16089,25.88341,Bulgaria,5551
I5207,Austria_EN_LBK,MathiesonNature2018,H67mt,H67mt,J2aY,J2a1Y,Schletz,48.579752,16.46931,Austria,5000
I5359,Wales_N,OlaldeNature2018,H5mt,H5mt,I2aY,I2a1b1a1a1Y,Wales_Glamorgan_Tinkinswood,51.451447,-3.307873,Great_Britain,3650
I0698,Bulgaria_N,MathiesonNature2018,R0mt,R0mt,G2aY,G2a2a1a2aY,Yabalkovo_Dimitrovgrad_Haskovo,42.1,25.75,Bulgaria,5950
I4349,Iran_HajjiFiruz_C,NarasimhanPattersonScience2019,U1amt,U1a1d*mt,J2bY,J2b2b1aY,Hajji_Firuz,36.9944,45.4744,Iran,5805.5
I6750,England_N,OlaldeNature2018,K1amt,K1a+195mt,I2aY,I2a1b1Y,England_Wiltshire_Salisbury_Fussells_Lodge,51.091224,-1.72751,Great_Britain,3700
I6759,England_N,OlaldeNature2018,J1cmt,J1c1mt,I2aY,I2a1a2aY,England_North_Yorkshire_Kelco_Cave_Giggleswick_Scar,54.0744391,-2.2872841,Great_Britain,3583.5
I2606,England_N,OlaldeNature2018,K1amt,K1a+195mt,I2aY,I2a1b1a1a1Y,England_Eton_Rowing_Course,51.49275,-0.665402,Great_Britain,3115
I4241,Iran_HajjiFiruz_C,NarasimhanPattersonScience2019,K1amt,K1a3mt,J2bY,J2b2b1aY,Hajji_Firuz,36.9944,45.4744,Iran,5956
I3718,Ukraine_N,MathiesonNature2018,U5amt,U5a1mt,R1bY,R1b1bY,Dereivka_I,48.91422,33.76493,Ukraine,5285.5
I1947,Iran_GanjDareh_N,NarasimhanPattersonScience2019,R2bmt,R2bmt,R2aY,R2aY,Ganj_Dareh,34.45,48.116,Iran,8019
I1954,Iran_GanjDareh_N,NarasimhanPattersonScience2019,R2bmt,R2bmt,R2aY,R2aY,Ganj_Dareh,34.45,48.116,Iran,8135.5
I7602,Spain_MLN,OlaldeScience2019,J1cmt,J1c1mt,I2aY,I2a1b1Y,Mandubi_Zelaia,43.085823,-2.251197,Spain,3100
I7603,Spain_MLN,OlaldeScience2019,K1amt,K1a2bmt,I2aY,I2a1b1Y,Mandubi_Zelaia,43.085823,-2.251197,Spain,3100
I7605,Spain_MLN,OlaldeScience2019,H3mt,H3mt,I2aY,I2a1b1bY,Mandubi_Zelaia,43.085823,-2.251197,Spain,3100
I7606,Spain_MLN,OlaldeScience2019,U5b1mt,U5b1+16189+@16192mt,I2aY,I2a1b1b1Y,Mandubi_Zelaia,43.085823,-2.251197,Spain,3100
I7604,Spain_MLN,OlaldeScience2019,H1amt,H1akmt,I2aY,I2a1b1Y,Mandubi_Zelaia,43.085823,-2.251197,Spain,3100
I10277,Spain_MLN,OlaldeScience2019,X2c1mt,X2c1mt,I2aY,I2a1a1aY,Barcelona_Cova_de_la_Guineu,41.4391,1.5733,Spain,3228
I10278,Spain_MLN,OlaldeScience2019,U5bmt,U5b1f1mt,I2aY,I2a1a2Y,Barcelona_Cova_de_la_Guineu,41.4391,1.5733,Spain,3228
I10280,Spain_MLN,OlaldeScience2019,J1cmt,J1c1mt,G2aY,G2a2b2b1a1aY,Barcelona_Cova_de_la_Guineu,41.4391,1.5733,Spain,3228
I7598,Spain_MLN,OlaldeScience2019,U5bmt,U5b3mt,G2aY,G2a2aY,Alicante_Alcoi_Llometes,38.7025,-0.48631,Spain,3500
I11305,Spain_MLN,OlaldeScience2019,J1cmt,J1c1bmt,G2aY,G2a2a1a3Y,Barcelona_Cova_de_la_Guineu,41.4391,1.5733,Spain,3228
I4064,Italy_Sicily_MN,FernandesNatureEcologyEvolution2020,H1emt,H1emt,C1aY,C1a2bY,Sicily_Fossato_di_Stretto_Partana,37.724,12.916,Italy,4776
I11249,Spain_MLN,OlaldeScience2019,U5bmt,U5b1mt,I2aY,I2a1b1bY,Basque_Country,43.0866,-2.2154,Spain,3100
I11248,Spain_MLN,OlaldeScience2019,J2amt,J2a1a1mt,I2aY,I2a1b1bY,Basque_Country,43.0866,-2.2154,Spain,3100
I16168,Italy_Sardinia_N,FernandesNatureEcologyEvolution2020,U5bmt,U5b2b3mt,H2cY,H2c1aY,Sardinia_Anghelu_Ruju,40.626667,8.323056,Italy,3831.5
I15946,Italy_Sardinia_N,FernandesNatureEcologyEvolution2020,T2cmt,T2c1d+152mt,I2aY,I2a1b1a1bY,Sardinia_Anghelu_Ruju,40.626667,8.323056,Italy,4058
CHA001,Spain_EN,VillalbaMoucoCurrentBiology2019,HV0mt,HV0+195mt,I2aY,I2a1a2Y,Cueva_de_Chaves,42.215129,-0.138457,Spain,5179.5
CHA003,Spain_EN,VillalbaMoucoCurrentBiology2019,K1amt,K1a3amt,I2aY,I2a1a2Y,Cueva_de_Chaves,42.215129,-0.138457,Spain,5146.5
ELT002,Spain_MLN,VillalbaMoucoCurrentBiology2019,J1cmt,J1c1bmt,I2aY,I2a1a1a1Y,Cova_de_Els_Trocs,42.5,0.5,Spain,3800.5
ELT006,Spain_MLN,VillalbaMoucoCurrentBiology2019,U3amt,U3a1mt,I2aY,I2a1a1a1aY,Cova_de_Els_Trocs,42.5,0.5,Spain,3832
FUC003,Spain_EN,VillalbaMoucoCurrentBiology2019,X2bmt,X2b+226mt,G2aY,G2a2a1Y,Fuente_Celada,42.385639,-3.734895,Spain,5078
ZKO,Turkey_Central_N,FeldmanNatureCommunications2019,U3mt,U3mt,G2aY,G2a2b2b1Y,Boncuklu,37.75,32.866667,Turkey,7950
ZMOJ,Turkey_Central_N,FeldmanNatureCommunications2019,K1amt,K1amt,C1aY,C1a2bY,Boncuklu,37.75,32.866667,Turkey,7950
ans008,Sweden_Ansarve_Megalithic,SanchezQuintoPNAS2019,J1cmt,J1c5mt,I2aY,I2a1a2a1a1Y,Ansarve,57.509,18.14,Sweden,3186.5
ans014,Sweden_Ansarve_Megalithic,SanchezQuintoPNAS2019,J1cmt,J1c5mt,I2aY,I2a1a2a1a1Y,Ansarve,57.509,18.14,Sweden,3136.5
ans016,Sweden_Ansarve_Megalithic,SanchezQuintoPNAS2019,H7dmt,H7dmt,I2aY,I2a1a2aY,Ansarve,57.509,18.14,Sweden,2755
ans017,Sweden_Ansarve_Megalithic,SanchezQuintoPNAS2019,Vmt,Vmt,I2aY,I2a1a2a1a1Y,Ansarve,57.509,18.14,Sweden,3126
lai001,Scotland_Megalithic,SanchezQuintoPNAS2019,U5bmt,U5b2a+@16192mt,I2aY,I2a1a2a2a1aY,Knowe_of_Lairo,59.053,-2.853,Great_Britain,3234.5
mid002,Scotland_Megalithic,SanchezQuintoPNAS2019,H5+mt,H5+16311mt,I2aY,I2a1a2aY,Scotland_Midhowe,59.157,-3.099,Great_Britain,3497.5
CarsingtonPasture3,England_N,BraceNatureEcologyEvolution2019,T2cmt,T2c1d1mt,I2aY,I2a1b1a1a1Y,England_Derbyshire_Brassington_Carsington_Pasture_Cave,53.079803,-1.640942,Great_Britain,3588
CarsingtonPasture1,England_N,BraceNatureEcologyEvolution2019,J1cmt,J1c1bmt,I2aY,I2a1b1a1a1Y,England_Derbyshire_Brassington_Carsington_Pasture_Cave,53.079803,-1.640942,Great_Britain,3588
Raschoille1,Scotland_N,BraceDiekmannNatureEcologyEvolution2019,K1amt,K1a3mt,I2aY,I2a1b1a1aY,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,56.414567,-5.469178,Great_Britain,3489.5
Tinkinswood1,Wales_N,BraceNatureEcologyEvolution2019,H5mt,H5mt,I2aY,I2a1b1a1a1Y,Wales_Glamorgan_Tinkinswood,51.451447,-3.308186,Great_Britain,3650
WestKennet1,England_N_all,BraceDiekmannNatureEcologyEvolution2019,U5amt,U5a2dmt,I2aY,I2a1b1a1aY,England_Wiltshire_Avebury_West_Kennet,51.243083,-1.51039,Great_Britain,2900
Coldrum1,England_N_all,BraceDiekmannNatureEcologyEvolution2019,K1amt,K1a2bmt,I2aY,I2a1b1a1a1Y,England_Kent_Trottiscliffe_Coldrum,51.321578,0.372682,Great_Britain,3355
CaveHa3_1,England_N_all,BraceDiekmannNatureEcologyEvolution2019,K1amt,K1a2bmt,I2aY,I2a1b1a1a1b1Y,England_North_Yorkshire_Ha_Cave_Giggleswick_Scar,54.074439,-2.287284,Great_Britain,3585.5
JubileeCave,England_N,BraceDiekmannNatureEcologyEvolution2019,J1cmt,J1c9mt,I2aY,I2a1b1a1a1b1Y,England_North_Yorkshire_Attermire_Scar_Jubilee_Cave,54.081683,-2.27362,Great_Britain,3510
BurnGround,England_N_all,BraceDiekmannNatureEcologyEvolution2019,U5bmt,U5b2amt,I2aY,I2a1b1a1a1b1Y,England_Gloucestershire_Hampnett_Burn_Ground,51.843407,-1.850443,Great_Britain,3828
UpperSwell,England_N_all,BraceNatureEcologyEvolution2019,K1amt,K1a1b1mt,I2aY,I2a1b1a1a1b1Y,England_Gloucestershire_Chipping_Norton_Upper_Swell,51.56105,-1.445923,Great_Britain,3750
I1583,Turkey_N,MathiesonNature2015,K1amt,K1a2mt,G2aY,G2a2a1a2aY,Northwest_Anatolia_Marmara_Barcın,40.3037,29.57,Turkey,6328.5
I0723,Turkey_N,MathiesonNature2015,X2mmt,X2m2mt,G2aY,G2a2a1Y,Menteşe,40.26,29.65,Turkey,5921.5
I2793,Hungary_EarlyC_Tiszapolgar_Bodrogkeresztur,LipsonNature2017,H1bmt,H1bcmt,I2aY,I2a1b1a2b3Y,Torokszentmiklós_road_4_site_3,47.191612,20.402331,Hungary,4346
I1905,Hungary_LN_Lengyel,LipsonNature2017,T2bmt,T2bmt,I2aY,I2aY,Csabdi-Telizoldes,47.51062,18.61693,Hungary,4695
I1878,Hungary_EN_Starcevo_1,LipsonNature2017,T1amt,T1a2mt,H2aY,H2a1Y,Alsonyek-Bataszek_Mernoki_telep,46.208562,18.700047,Hungary,5747
I2384,Hungary_MN_ALPc_published,LipsonNature2017,K1amt,K1amt,I2aY,I2a2bY,Hajdunanas-Eszlari_ut,47.85755,21.43239,Hungary,5175.5
I1880,Hungary_EN_Starcevo_2,LipsonNature2017,W5mt,W5mt,G2aY,G2a2b2b1a1Y,Lanycsak_Gata-Csatola,45.993,18.58127,Hungary,5650
I3719,Ukraine_N_o2,MathiesonNature2018,H1mt,H1mt,I2aY,I2a1b1Y,Dereivka_I,48.91422,33.76493,Ukraine,4889
I10287,Spain_MLN,OlaldeScience2019,T2bmt,T2b3+151mt,I2aY,I2a1b1bY,Barcelona_Cova_de_la_Guineu,41.4391,1.5733,Spain,3228
ajv54,Sweden_PWC,MalmstromProcBiolSci2019,U5bmt,U5b1d2mt,I2aY,I2a1a1b1Y,Ajvide,57.281086,18.169117,Sweden,2895.5
BERG157-7,France_GrandEst_MN,BrunelPNAS2020,U5bmt,U5b1cmt,I2aY,I2a1a2aY,Grand-Est__Bergheim_Saulager,43.21817,2.4127,France,4184.5
BUCH2,France_GrandEst_MN,BrunelPNAS2020,U5bmt,U5b1+16189+@16192mt,H2aY,H2a1Y,Grand-Est__Bucheres_PLA_D39,48.23569,4.11263,France,4300
MDV248,France_HautsDeFrance_EN,BrunelPNAS2020,K1amt,K1a2mt,H2aY,H2a1Y,Hauts-de-France_North_Menneville_Derriere_le_village,49.41905,4.00774,France,5029.5
PER3123,France_NouvelleAquitaine_Mesolithic,BrunelPNAS2020,U5bmt,U5b1+16189mt,I2aY,I2a1b2Y,Nouvelle-Aquitaine_South-West_Agris_Les_Perrats,45.77,0.33,France,7100
ROS78,France_GrandEst_MN,BrunelPNAS2020,U8bmt,U8b1b1mt,I2aY,I2a1a2aY,Grand-Est__Rosheim_Rosheim_Mittelfeld_Rosenmeer,48.49666,7.47052,France,4650
ROS102,France_GrandEst_MN,BrunelPNAS2020,K1amt,K1a1mt,I2aY,I2a1a2aY,Grand-Est_Rosheim_Rosheim_Mittelfeld_Rosenmeer,48.49666,7.47052,France,4698
FLR004,France_MN,RivollatScienceAdvance2020,K1bmt,K1b1amt,H2aY,H2a1Y,Calvados_Fleury-sur-Orne,49.19,-0.38,France,4568
