I1734,MathiesonNature2018,Ukraine_N,Vasilevka,Ukraine,47.434167,35.276389,R1b_Y,R1b1b_Y,U5b_mt,U5b2_mt,7451,7056,7253.5
I1738,MathiesonNature2018,Ukraine_N,Vovnigi,Ukraine,48.133333,35.083333,I2a_Y,I2a1b1a2a_Y,U5a_mt,U5a2+16294_mt,5475,5320,5397.5
Ajvide58,SkoglundScience2014,Sweden_PWC,Gotland_Stora_Karlso,Sweden,57.287,18.206,I2a_Y,I2a1a1b1_Y,U4_mt,U4_mt,2900,2600,2750
I0867,LazaridisNature2016,Israel_PPNB,Motza,Israel,31.79,35.168,H2b_Y,H2b1_Y,K1a_mt,K1a4b_mt,7300,6200,6750
I0172,MathiesonNature2015_1240k_of_same_same_sample_with_390k_in_HaakLazaridis2015,Germany_MN_Esperstedt,Esperstedt,Germany,51.42,11.68,I2a_Y,I2a1a2a1a1_Y,T2b_mt,T2b_mt,3363,3029,3196
I0412,MathiesonNature2015_1240k_of_same_same_sample_with_390k_in_HaakLazaridis2015,Spain_EN,Els_Trocs,Spain,42.5,0.5,I2a_Y,I2a1a2a1b_Y,N1a_mt,N1a1a1_mt,5309,5073,5191
I0406,MathiesonNature2015_1240k_of_same_same_sample_with_390k_in_HaakLazaridis2015,Spain_MLN,La_Mina,Spain,41.2522,-2.32622,I2a_Y,I2a1b1a2b_Y,H1_mt,H1_mt,3900,3600,3750
I0410,MathiesonNature2015_1240k_of_same_same_sample_with_390k_in_HaakLazaridis2015,Spain_EN,Els_Trocs,Spain,42.5,0.5,R1b_Y,R1b1b2a_Y,T2c_mt,T2c1d+152_mt,5298,5057,5177.5
I1904,LipsonNature2017,Hungary_MN_LBK,Bataszek-Lajver,Hungary,46.20487,18.7004,G2a_Y,G2a2a1_Y,K1b_mt,K1b1a_mt,5209,4941,5075
I1593,LipsonNature2017,Germany_Blatterhohle_MN,Blatterhole_Cave,Germany,51.358333,7.551111,R1b_Y,R1b1b_Y,U5b_mt,U5b2a2_mt,3644,3528,3586
I1565,LipsonNature2017,Germany_Blatterhohle_MN,Blatterhole_Cave,Germany,51.358333,7.551111,I2a_Y,I2a1a1b1b_Y,U5b_mt,U5b2b2_mt,3725,3655,3690
I2354,LipsonNature2017,Hungary_EarlyC_Tiszapolgar,Pusztataskony-Ledence_I,Hungary,47.45925,20.51282,G2a_Y,G2a2b2a1a1c1a_Y,T2c_mt,T2c1+146_mt,4500,4000,4250
I2376,LipsonNature2017,Hungary_MN_ALPc_Tiszadob,Tiszadob-O-Kenez,Hungary,48.00363,21.17651,H2_Y,H2_Y,HV0_mt,HV0a_mt,5300,4900,5100
I2377,LipsonNature2017,Hungary_MN_ALPc_Tiszadob,Tiszadob-O-Kenez,Hungary,48.00363,21.17651,I2a_Y,I2a1b1_Y,J1c_mt,J1c2_mt,5210,4935,5072.5
I2379,LipsonNature2017,Hungary_MN_ALPc_Tiszadob,Hejokrt-Lidl_logisztikai_kozpont,Hungary,47.86071,21.00058,I2a_Y,I2a1b1_Y,N1a_mt,N1a1a1_mt,5209,4855,5032
I1877,LipsonNature2017,Hungary_EN_Starcevo,Alsonyek-Bataszek_Mernoki_telep,Hungary,46.208562,18.700047,G2a_Y,G2a2b2b_Y,X2d_mt,X2d_mt,5713,5556,5634.5
I3498,MathiesonNature2018,Croatia_MN_Sopot,Beli_Manastir-Popova_zemlja,Croatia,45.338767,18.698861,C1a_Y,C1a2b_Y,U8b_mt,U8b1b1_mt,5834,5656,5745
I2977,OlaldeNature2018,Scotland_N,Scotland_Orkney_Isbister,Great_Britain,58.74,-2.916,I2a_Y,I2a1b2_Y,H1_mt,H1_mt,3010,2708,2859
I2978,OlaldeNature2018,Scotland_N,Scotland_Orkney_Isbister,Great_Britain,58.74,-2.916,I2a_Y,I2a1a2a_Y,K1b_mt,K1b1a1_mt,3336,3024,3180
I3133,OlaldeNature2018,Scotland_N,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,Great_Britain,56.4033333,-5.478056,I2a_Y,I2a1a2a_Y,K1a_mt,K1a+195_mt,3627,3377,3502
I2979,OlaldeNature2018,Scotland_N,Scotland_Orkney_Isbister,Great_Britain,58.74,-2.916,I2a_Y,I2a1a2a_Y,K1a_mt,K1a+195_mt,3334,2935,3134.5
I3134,OlaldeNature2018,Scotland_N,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,Great_Britain,56.4033333,-5.478056,I2a_Y,I2a1b1a1a1b_Y,T2+_mt,T2+16189_mt,3630,3377,3503.5
