Ids,number of mtDNA SNPs,coverage mtDNA,number of Ychr SNPs,coverage Ychr,state
I2377,27,30.9195X,335,0.0005X,used
I5078,8,102.5181X,526,0.0036X,used
GRC003,23,3.2691X,429,0.001X,used
I2935,24,129.057X,497,0.0033X,used
FLR002,4,0.5971X,215,0.0004X,deleted
NOE001,7,3.702X,16,0.0006X,deleted
GNM1007-C-EX3,29,78.8655X,437,0.0018X,used
I5890,23,78.04X,158,0.0002X,used
I5077,24,132.508X,547,0.0039X,used
GNM1076-D-EX3,8,106.9197X,587,0.0026X,used
I0410,34,22.8471X,223,0.0239X,used
CHA001,11,28.9049X,142,0.0094X,used
I2354,32,11.2363X,158,0.0002X,used
I4949,31,88.8186X,45,0.0001X,deleted
lai001,26,33.6524X,151,0.035X,used
I1496,30,19.9189X,425,0.0953X,used
XN170,6,4.604X,126,0.0001X,used
I3135,26,150.4145X,489,0.003X,used
I3498,25,82.0564X,212,0.0203X,used
ELT002,28,167.1686X,469,0.0737X,used
UpperSwell,26,7.6534X,305,0.0278X,used
I2793,8,11.4805X,481,0.0011X,used
I3713,27,34.7634X,19,0X,deleted
I1738,23,121.3711X,420,0.0014X,used
1H07,27,98.3464X,142,0.0392X,used
I0723,27,92.7035X,215,0.0008X,used
I2634,17,76.347X,276,0.0003X,used
I2634,17,76.347X,276,0.0006X,used
I2378,24,24.3168X,39,0.0001X,deleted
I4436,28,126.1791X,465,0.002X,used
I2657,31,67.5682X,68,0.0001X,deleted
I0405,32,26.9919X,85,0.0076X,used
I3133,29,140.3621X,513,0.003X,used
CaveHa3,29,29.9037X,268,0.0266X,used
Bon004,29,160.7166X,209,0.0716X,used
mid002,9,30.9985X,198,0.0467X,used
GBVPK,30,137.4654X,454,0.1351X,used
XN180,27,3.4105X,58,0.0001X,deleted
I0708,32,126.1377X,607,0.0062X,used
I3137,11,52.2051X,45,0.0001X,deleted
FUC003,27,135.298X,186,0.0123X,used
prs012,31,541.7128X,147,0.046X,used
CAK532-A3-EX3,27,121.9467X,818,0.0047X,used
LittleLodge,4,1.2819X,40,0.0027X,deleted
Tep001,29,79.0289X,22,0.0061X,deleted
I1103,35,86.0843X,351,0.0009X,used
PB581-A2-EX3,31,119.8408X,746,0.0042X,used
CAK531-C-EX3,7,99.3414X,479,0.0022X,used
I1877,25,7.8514X,267,0.0004X,used
SCH011,30,3.0453X,11,0X,deleted
PN07-B-EX3,25,117.2834X,596,0.003X,used
Ajvide58,23,124.7569X,506,0.2136X,used
Tinkinswood1,6,3.6605X,256,0.0191X,used
I5893,23,36.4639X,28,0.0001X,deleted
I4893,24,92.8087X,505,0.0035X,used
I4304,35,112.7896X,503,0.0029X,used
HBS002,3,0.3836X,29,0X,deleted
ROS45,9,24.1782X,153,0.0405X,used
RISE1169,10,49.5774X,607,0.1287X,used
I16168,31,41.8963X,181,0.0003X,used
TGM008,1,0.0542X,6,0X,deleted
FLR004,16,0.9525X,341,0.0007X,used
I2933,27,110.9742X,465,0.0022X,used
